species,island,calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,gender,year
Adelie,Torgersen,6563,11,39.1,18.7,181,3750,male,2007
Adelie,Torgersen,4890,14,39.5,17.4,186,3800,female,2007
Adelie,Torgersen,7184,11,40.3,18,195,3250,female,2007
Adelie,Torgersen,4169,8,,,,992,,2007
Adelie,Torgersen,4774,8,36.7,19.3,193,3450,female,2007
Adelie,Torgersen,4403,13,39.3,20.6,190,3650,male,2007
Adelie,Torgersen,5071,11,38.9,17.8,181,3625,female,2007
Adelie,Torgersen,6799,9,39.2,19.6,195,4675,male,2007
Adelie,Torgersen,5593,8,34.1,18.1,193,3475,,2007
Adelie,Torgersen,6275,7,42,20.2,190,4250,,2007
Adelie,Torgersen,5135,10,37.8,17.1,186,3300,,2007
Adelie,Torgersen,6021,7,37.8,17.3,180,3700,,2007
Adelie,Torgersen,6644,12,41.1,17.6,182,3200,female,2007
Adelie,Torgersen,4812,10,38.6,21.2,191,3800,male,2007
Adelie,Torgersen,4615,9,34.6,21.1,198,4400,male,2007
Adelie,Torgersen,7028,10,36.6,17.8,185,3700,female,2007
Adelie,Torgersen,3991,12,38.7,19,195,3450,female,2007
adelie,Torgersen,6543,8,82.4,20.7,197,4500,,2007
Adelie,Torgersen,5553,8,34.4,18.4,184,3325,female,2007
Adelie,Torgersen,7133,7,46,21.5,194,4200,male,2007
Adelie,Biscoe,4152,7,37.8,18.3,174,3400,female,2007
,,4138,8,82.47,18.7,180,3600,male,2007
Adelie,Biscoe,4017,12,35.9,19.2,189,3800,female,2007
Adelie,Biscoe,4538,11,38.2,18.1,185,3950,male,2007
Adelie,Biscoe,6703,10,38.8,17.2,180,3800,male,2007
Adelie,Biscoe,5974,13,35.3,18.9,187,3800,female,2007
Adelie,Biscoe,5039,8,40.6,18.6,183,3550,male,2007
Adelie,Biscoe,6550,8,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,3900,11,37.9,18.6,172,3150,female,2007
Adelie,Biscoe,5254,7,40.5,18.9,180,3950,male,2007
Adelie,Dream,5501,11,39.5,16.7,178,3250,female,2007
Adelie,Dream,3668,10,37.2,18.1,178,3900,male,2007
Adelie,Dream,6701,9,39.5,17.8,188,3300,female,2007
Adelie,Dream,6745,10,40.9,18.9,184,3900,male,2007
Adelie,Dream,4519,14,36.4,17,195,3325,female,2007
Adelie,Dream,4059,12,39.2,21.1,196,4150,male,2007
,Dream,3758,7,38.8,89.21,190,3950,male,2007
Adelie,Dream,6982,9,42.2,18.5,180,3550,female,2007
Adelie,Dream,5319,7,37.6,19.3,181,3300,female,2007
Adelie,Dream,4416,7,39.8,19.1,184,4650,male,2007
Adelie,Dream,6061,13,36.5,18,182,3150,female,2007
Adelie,Dream,3828,14,40.8,18.4,195,3900,male,2007
Adelie,Dream,4814,9,36,18.5,186,3100,female,2007
Adelie,Dream,7108,12,44.1,19.7,196,4400,male,2007
Adelie,Dream,3950,13,37,16.9,185,3000,female,2007
Adelie,Dream,5642,14,39.6,18.8,190,4600,male,2007
Adelie,Dream,6338,8,41.1,19,182,3425,male,2007
Adelie,Dream,5939,7,37.5,18.9,179,2975,,2007
Adelie,Dream,4650,7,36,17.9,190,3450,female,2007
Adelie,Dream,5803,12,42.3,21.2,191,4150,male,2007
Adelie,Biscoe,3970,8,39.6,17.7,186,3500,female,2008
Adelie,Biscoe,4640,8,40.1,18.9,188,4300,male,2008
Adelie,Biscoe,3573,8,35,17.9,190,3450,female,2008
Adelie,Biscoe,5575,14,42,19.5,200,4050,male,2008
Adelie,Biscoe,6267,9,34.5,18.1,187,2900,female,2008
Adelie,Biscoe,5821,13,41.4,18.6,191,3700,male,2008
Adelie,Biscoe,4840,10,39,17.5,186,3550,female,2008
Adelie,Biscoe,6242,7,40.6,18.8,193,3800,male,2008
Adelie,Biscoe,4590,10,36.5,16.6,181,2850,female,2008
Adelie,Biscoe,4993,13,37.6,19.1,194,3750,male,2008
Adelie,Biscoe,6695,10,35.7,16.9,185,3150,female,2008
Adelie,Biscoe,3719,13,41.3,21.1,195,4400,male,2008
Adelie,Biscoe,5205,7,37.6,17,185,3600,female,2008
Adelie,Biscoe,4300,8,41.1,18.2,192,4050,male,2008
Adelie,Biscoe,6395,12,36.4,17.1,184,2850,female,2008
Adelie,Biscoe,6659,12,41.6,18,192,3950,male,2008
Adelie,Biscoe,4158,7,35.5,16.2,195,3350,female,2008
Adelie,Biscoe,6614,11,41.1,19.1,188,4100,male,2008
Adelie,Torgersen,5738,10,35.9,16.6,190,3050,female,2008
Adelie,Torgersen,4721,10,41.8,19.4,198,4450,male,2008
Adelie,Torgersen,3767,9,33.5,19,190,3600,female,2008
Adelie,Torgersen,3994,9,39.7,18.4,190,3900,male,2008
Adelie,torgersen,3955,12,119.89,17.2,196,,,2008
Adelie,Torgersen,3826,13,45.8,18.9,197,4150,male,2008
Adelie,Torgersen,4092,9,35.5,17.5,190,3700,female,2008
Adelie,Torgersen,5402,7,42.8,18.5,195,4250,male,2008
Adelie,Torgersen,6489,8,40.9,16.8,191,3700,female,2008
Adelie,Torgersen,4879,10,37.2,19.4,184,3900,male,2008
Adelie,Torgersen,7174,14,36.2,16.1,187,3550,female,2008
Adelie,Torgersen,4755,10,42.1,19.1,195,4000,male,2008
Adelie,Torgersen,4863,8,34.6,17.2,189,3200,female,2008
Adelie,Torgersen,4439,14,42.9,17.6,196,4700,male,2008
Adelie,Torgersen,4299,13,36.7,18.8,187,3800,female,2008
Adelie,,4858,13,35.1,,,4200,male,2008
Adelie,Dream,4376,10,37.3,17.8,191,3350,female,2008
Adelie,Dream,4694,8,41.3,20.3,194,3550,male,2008
Adelie,Dream,4930,13,36.3,19.5,190,3800,male,2008
Adelie,Dream,4283,10,36.9,18.6,189,3500,female,2008
Adelie,Dream,5919,9,38.3,19.2,189,3950,male,2008
Adelie,Dream,3504,12,38.9,18.8,190,3600,female,2008
Adelie,Dream,5343,14,35.7,18,202,3550,female,2008
Adelie,Dream,6557,11,41.1,18.1,205,4300,male,2008
,Dream,4612,12,81.1,17.1,27,3400,female,2008
Adelie,Dream,6507,11,39.6,18.1,186,4450,male,2008
Adelie,Dream,5415,13,36.2,17.3,187,3300,female,2008
Adelie,Dream,5012,10,40.8,18.9,208,4300,male,2008
Adelie,Dream,6454,9,38.1,18.6,190,3700,female,2008
Adelie,Dream,3904,13,40.3,18.5,196,4350,male,2008
Adelie,Dream,6156,8,33.1,16.1,178,2900,female,2008
Adelie,Dream,6886,8,43.2,18.5,192,4100,male,2008
Adelie,Biscoe,3857,11,35,17.9,192,3725,female,2009
Adelie,Biscoe,5231,10,41,20,203,4725,male,2009
Adelie,Biscoe,6260,7,37.7,16,183,3075,female,2009
Adelie,Biscoe,7141,8,37.8,20,190,4250,male,2009
Adelie,Biscoe,4658,12,37.9,18.6,193,2925,female,2009
Adelie,Biscoe,4957,10,39.7,18.9,184,3550,male,2009
Adelie,Biscoe,6733,13,38.6,17.2,199,3750,female,2009
Adelie,Biscoe,6014,10,38.2,20,190,3900,male,2009
Adelie,Biscoe,4334,12,38.1,17,181,3175,female,2009
Adelie,Biscoe,5010,14,43.2,19,197,4775,male,2009
Adelie,Biscoe,6122,13,38.1,16.5,198,3825,female,2009
Adelie,Biscoe,6118,14,45.6,20.3,191,4600,male,2009
Adelie,Biscoe,5610,11,39.7,17.7,193,3200,female,2009
Adelie,Biscoe,6019,14,42.2,19.5,197,4275,male,2009
Adelie,Biscoe,4532,11,39.6,20.7,191,3900,female,2009
Adelie,Biscoe,4826,11,42.7,18.3,196,4075,male,2009
,Torgersen,5580,12,,117.23,188,2900,FEMALE,2009
Adelie,Torgersen,4731,12,37.3,20.5,199,3775,male,2009
Adelie,Torgersen,5299,14,35.7,17,189,3350,female,2009
Adelie,Torgersen,4695,11,41.1,18.6,189,3325,male,2009
Adelie,Torgersen,5641,13,36.2,17.2,187,3150,female,2009
,Torgersen,4294,13,,,27,3500,male,2009
Adelie,Torgersen,5584,14,40.2,17,176,3450,female,2009
Adelie,Torgersen,6630,7,41.4,18.5,202,3875,male,2009
Adelie,Torgersen,6762,14,35.2,15.9,186,3050,female,2009
Adelie,Torgersen,4716,12,40.6,19,199,4000,male,2009
Adelie,Torgersen,3717,11,38.8,17.6,191,3275,female,2009
Adelie,Torgersen,7032,9,41.5,18.3,195,4300,male,2009
Adelie,Torgersen,5896,7,39,17.1,191,3050,female,2009
Adelie,Torgersen,3810,14,44.1,18,210,4000,male,2009
Adelie,Torgersen,7056,10,38.5,17.9,190,3325,female,2009
Adelie,Torgersen,5141,14,43.1,19.2,197,3500,male,2009
Adelie,Dream,4717,7,36.8,18.5,193,3500,female,2009
Adelie,Dream,6243,14,37.5,18.5,199,4475,male,2009
Adelie,Dream,3840,13,38.1,17.6,187,3425,female,2009
,,6605,9,,,190,,male,2009
Adelie,Dream,5764,14,35.6,17.5,191,3175,female,2009
Adelie,Dream,6985,9,40.2,20.1,200,3975,male,2009
Adelie,Dream,6156,9,37,16.5,185,3400,female,2009
Adelie,Dream,5040,14,39.7,17.9,193,4250,male,2009
Adelie,Dream,3997,12,40.2,17.1,193,3400,female,2009
Adelie,Dream,6844,10,40.6,17.2,187,3475,male,2009
Adelie,Dream,4667,11,32.1,15.5,188,3050,female,2009
Adelie,Dream,6062,10,40.7,17,190,3725,male,2009
Adelie,Dream,3648,7,37.3,16.8,192,3000,female,2009
Adelie,Dream,6856,8,39,18.7,185,3650,male,2009
Adelie,Dream,5755,12,39.2,18.6,190,4250,male,2009
Adelie,,6356,10,124.3,18.4,184,3475,,2009
Adelie,Dream,3859,7,36,17.8,195,3450,female,2009
Adelie,Dream,3563,8,37.8,18.1,193,3750,male,2009
Adelie,Dream,4315,9,36,17.1,187,3700,female,2009
Adelie,Dream,4060,12,41.5,18.5,201,4000,male,2009
Gentoo,Biscoe,6594,12,46.1,13.2,211,4500,female,2007
Gentoo,Biscoe,4403,11,50,16.3,230,5700,male,2007
Gentoo,biscoe,4841,10,48.7,,210,4450,,2007
Gentoo,Biscoe,3916,14,50,15.2,218,5700,male,2007
Gentoo,Biscoe,4462,11,47.6,14.5,215,5400,male,2007
Gentoo,Biscoe,6503,8,46.5,13.5,210,4550,female,2007
Gentoo,Biscoe,6147,11,45.4,14.6,211,4800,female,2007
Gentoo,Biscoe,6033,13,46.7,15.3,219,5200,male,2007
Gentoo,Biscoe,6694,10,43.3,13.4,209,4400,female,2007
gentoo,biscoe,4743,12,46.8,127.26,215,5150,male,2007
Gentoo,Biscoe,5699,7,40.9,13.7,214,4650,female,2007
Gentoo,Biscoe,5103,14,49,16.1,216,5550,male,2007
Gentoo,Biscoe,7157,10,45.5,13.7,214,4650,female,2007
Gentoo,Biscoe,6321,13,48.4,14.6,213,5850,male,2007
Gentoo,Biscoe,6421,11,45.8,14.6,210,4200,female,2007
Gentoo,Biscoe,4325,14,49.3,15.7,217,5850,male,2007
Gentoo,Biscoe,4709,13,42,13.5,210,4150,female,2007
Gentoo,Biscoe,3677,9,49.2,15.2,221,6300,male,2007
Gentoo,Biscoe,5294,13,46.2,14.5,209,4800,female,2007
,biscoe,6942,12,48.7,15.1,222,5350,male,
Gentoo,Biscoe,5014,11,50.2,14.3,218,5700,male,2007
,Biscoe,7074,7,,14.5,23,,female,
Gentoo,Biscoe,6162,9,46.5,14.5,213,4400,female,2007
Gentoo,Biscoe,4451,9,46.3,15.8,215,5050,male,2007
Gentoo,Biscoe,4452,9,42.9,13.1,215,5000,female,2007
Gentoo,Biscoe,4232,11,46.1,15.1,215,5100,male,2007
Gentoo,Biscoe,4001,13,44.5,14.3,216,4100,,2007
Gentoo,Biscoe,3533,12,47.8,15,215,5650,male,2007
Gentoo,Biscoe,6475,9,48.2,14.3,210,4600,female,2007
Gentoo,Biscoe,5209,14,50,15.3,220,5550,male,2007
Gentoo,Biscoe,4833,12,47.3,15.3,222,5250,male,2007
Gentoo,Biscoe,6978,9,42.8,14.2,209,4700,female,2007
Gentoo,Biscoe,6690,9,45.1,14.5,207,5050,female,2007
Gentoo,Biscoe,6230,11,59.6,17,230,6050,male,2007
Gentoo,Biscoe,5154,14,49.1,14.8,220,5150,female,2008
Gentoo,Biscoe,5473,9,48.4,16.3,220,5400,male,2008
Gentoo,Biscoe,4787,9,42.6,13.7,213,4950,female,2008
Gentoo,Biscoe,4658,12,44.4,17.3,219,5250,male,2008
GENTOO,Biscoe,3710,7,44,13.6,,4350,female,2008
Gentoo,Biscoe,4504,11,48.7,15.7,208,5350,male,2008
Gentoo,Biscoe,5046,12,42.7,13.7,208,3950,female,2008
,Biscoe,6542,8,49.6,16,225,5700,male,2008
Gentoo,Biscoe,6195,11,45.3,13.7,210,4300,female,2008
Gentoo,Biscoe,3951,10,49.6,15,216,4750,male,2008
Gentoo,Biscoe,6445,11,50.5,15.9,222,5550,male,2008
Gentoo,Biscoe,6018,10,43.6,13.9,217,4900,female,2008
Gentoo,Biscoe,3849,11,45.5,13.9,210,4200,female,2008
Gentoo,Biscoe,5320,7,50.5,15.9,225,5400,male,2008
Gentoo,Biscoe,6705,9,44.9,13.3,213,5100,female,2008
Gentoo,Biscoe,7196,9,45.2,15.8,215,5300,male,2008
Gentoo,Biscoe,4586,14,46.6,14.2,210,4850,female,2008
Gentoo,Biscoe,5010,8,48.5,14.1,220,5300,male,2008
Gentoo,Biscoe,7048,13,45.1,14.4,210,4400,female,2008
Gentoo,Biscoe,6635,13,50.1,15,225,5000,male,2008
Gentoo,Biscoe,4924,9,46.5,14.4,217,4900,female,2008
Gentoo,Biscoe,7079,9,45,15.4,220,5050,male,2008
Gentoo,Biscoe,5341,11,43.8,13.9,208,4300,female,2008
Gentoo,Biscoe,6982,10,45.5,15,220,5000,male,2008
gentoo,,4985,11,90.3,14.5,208,4450,female,2008
Gentoo,Biscoe,6261,13,50.4,15.3,224,5550,male,2008
Gentoo,Biscoe,4018,11,45.3,13.8,208,4200,female,2008
Gentoo,Biscoe,5288,14,46.2,14.9,221,5300,male,2008
Gentoo,biscoe,6350,8,45.7,,214,4400,female,2008
Gentoo,Biscoe,5737,13,54.3,15.7,231,5650,male,2008
Gentoo,Biscoe,6027,10,45.8,14.2,219,4700,female,2008
Gentoo,Biscoe,5679,7,49.8,16.8,230,5700,male,2008
Gentoo,Biscoe,6017,14,46.2,14.4,214,4650,,2008
Gentoo,Biscoe,5760,9,49.5,16.2,229,5800,male,2008
Gentoo,Biscoe,4874,12,43.5,14.2,220,4700,female,2008
Gentoo,Biscoe,5404,13,50.7,15,223,5550,male,2008
Gentoo,Biscoe,5537,11,47.7,15,216,4750,female,2008
Gentoo,Biscoe,5108,7,46.4,15.6,221,5000,male,2008
Gentoo,Biscoe,5023,11,48.2,15.6,221,5100,male,2008
,Biscoe,5924,12,46.5,14.8,217,5200,FEMALE,2008
Gentoo,Biscoe,7144,12,46.4,15,216,4700,female,2008
Gentoo,Biscoe,4718,12,48.6,16,230,5800,male,2008
Gentoo,BISCOE,5191,9,47.5,,,,female,2008
Gentoo,Biscoe,4082,9,51.1,16.3,220,6000,male,2008
Gentoo,Biscoe,6765,9,45.2,13.8,215,4750,female,2008
Gentoo,Biscoe,5735,11,45.2,16.4,223,5950,male,2008
Gentoo,Biscoe,5855,11,49.1,14.5,212,4625,female,2009
Gentoo,Biscoe,4372,8,52.5,15.6,221,5450,male,2009
Gentoo,Biscoe,4085,11,47.4,14.6,212,4725,female,2009
Gentoo,Biscoe,4854,8,50,,224,5350,male,2009
Gentoo,Biscoe,6207,9,44.9,13.8,212,4750,female,2009
Gentoo,Biscoe,5825,14,50.8,17.3,228,5600,male,2009
Gentoo,Biscoe,4839,8,43.4,14.4,17,4600,female,2009
Gentoo,Biscoe,5446,9,51.3,14.2,218,5300,male,2009
Gentoo,Biscoe,6359,9,47.5,14,212,4875,female,2009
Gentoo,Biscoe,4542,13,52.1,17,230,5550,male,2009
Gentoo,Biscoe,7110,13,47.5,15,218,4950,female,2009
Gentoo,Biscoe,4150,7,52.2,17.1,228,5400,male,2009
Gentoo,Biscoe,5944,11,45.5,14.5,212,4750,female,2009
Gentoo,Biscoe,5828,13,49.5,16.1,224,5650,male,2009
Gentoo,Biscoe,3698,14,44.5,14.7,214,4850,female,2009
Gentoo,Biscoe,4856,10,50.8,15.7,226,5200,male,2009
Gentoo,Biscoe,4660,10,49.4,15.8,216,4925,male,2009
Gentoo,Biscoe,3681,10,46.9,14.6,222,4875,female,2009
Gentoo,Biscoe,5068,8,48.4,14.4,203,4625,female,2009
Gentoo,Biscoe,5698,11,51.1,16.5,225,5250,male,2009
Gentoo,Biscoe,5284,8,48.5,15,219,4850,female,2009
Gentoo,Biscoe,4970,7,55.9,17,228,5600,male,2009
Gentoo,Biscoe,3526,14,47.2,15.5,215,4975,female,2009
Gentoo,Biscoe,5551,7,49.1,15,228,5500,male,2009
Gentoo,Biscoe,4470,9,47.3,13.8,216,4725,,2009
Gentoo,Biscoe,6336,7,46.8,16.1,215,5500,male,2009
Gentoo,Biscoe,3570,9,41.7,14.7,210,4700,female,2009
Gentoo,Biscoe,4854,12,53.4,15.8,219,5500,male,2009
Gentoo,Biscoe,3613,14,43.3,14,208,4575,female,2009
Gentoo,Biscoe,3852,13,48.1,,209,5500,MALE,2009
Gentoo,Biscoe,6471,12,50.5,15.2,216,5000,female,2009
Gentoo,Biscoe,5384,14,49.8,15.9,229,5950,male,2009
Gentoo,Biscoe,5207,10,43.5,15.2,213,4650,female,2009
Gentoo,Biscoe,3705,13,51.5,16.3,230,5500,male,2009
Gentoo,Biscoe,3856,7,46.2,14.1,217,4375,female,2009
Gentoo,Biscoe,6077,7,55.1,16,230,5850,male,2009
Gentoo,Biscoe,3594,8,44.5,15.7,217,4875,,2009
Gentoo,Biscoe,5000,13,48.8,16.2,222,6000,male,2009
Gentoo,Biscoe,6812,11,47.2,13.7,214,4925,female,2009
Gentoo,Biscoe,4040,13,,,,,,2009
Gentoo,Biscoe,5054,9,46.8,14.3,215,4850,female,2009
Gentoo,,7142,7,50.4,15.7,222,5750,male,2009
Gentoo,Biscoe,4655,7,45.2,14.8,212,5200,female,2009
Gentoo,Biscoe,6622,10,49.9,16.1,213,5400,male,2009
Chinstrap,Dream,4901,8,46.5,17.9,192,3500,female,2007
Chinstrap,Dream,3931,7,50,19.5,196,3900,male,2007
Chinstrap,Dream,4447,14,51.3,19.2,193,3650,male,2007
CHINSTRAP,,5337,9,116.67,18.7,,3525,female,2007
Chinstrap,Dream,4923,14,52.7,19.8,197,3725,male,2007
Chinstrap,Dream,3923,7,45.2,17.8,198,3950,female,2007
Chinstrap,Dream,4825,12,46.1,18.2,178,3250,female,2007
chinstrap,,6791,14,51.3,18.2,,882,,2007
Chinstrap,Dream,6177,8,46,18.9,195,4150,female,2007
Chinstrap,Dream,4649,8,51.3,19.9,198,3700,male,2007
Chinstrap,Dream,3941,9,46.6,17.8,193,3800,female,2007
Chinstrap,Dream,5647,11,51.7,20.3,194,3775,male,2007
Chinstrap,Dream,6331,11,47,17.3,185,3700,female,2007
Chinstrap,Dream,5708,8,52,18.1,201,4050,male,2007
Chinstrap,Dream,4424,11,45.9,17.1,190,3575,female,2007
Chinstrap,Dream,6301,10,50.5,19.6,201,4050,male,2007
Chinstrap,Dream,4418,11,50.3,20,197,3300,male,2007
Chinstrap,Dream,3773,10,58,17.8,181,3700,female,2007
Chinstrap,Dream,5105,11,46.4,18.6,190,3450,female,2007
Chinstrap,Dream,3916,10,49.2,18.2,195,4400,male,2007
Chinstrap,Dream,6488,12,42.4,17.3,181,3600,female,2007
Chinstrap,dream,4843,9,48.5,17.5,10,3400,male,2007
Chinstrap,Dream,5208,14,43.2,16.6,187,2900,female,2007
Chinstrap,Dream,4342,14,50.6,19.4,193,3800,male,2007
Chinstrap,Dream,5053,9,46.7,17.9,195,3300,female,2007
Chinstrap,Dream,3791,9,52,19,197,4150,male,2007
Chinstrap,Dream,4002,13,50.5,18.4,200,3400,female,2008
Chinstrap,Dream,6149,9,49.5,19,200,3800,male,2008
Chinstrap,Dream,6988,7,46.4,17.8,191,3700,female,2008
Chinstrap,Dream,4015,10,52.8,20,205,4550,male,2008
Chinstrap,Dream,5249,7,40.9,16.6,187,3200,female,2008
Chinstrap,Dream,3620,8,54.2,20.8,201,4300,male,2008
Chinstrap,Dream,6922,11,42.5,16.7,187,3350,female,2008
Chinstrap,Dream,5454,10,51,18.8,203,4100,male,2008
Chinstrap,Dream,4315,10,49.7,18.6,195,3600,male,2008
Chinstrap,Dream,4746,10,47.5,16.8,199,3900,female,2008
Chinstrap,dream,5959,14,47.6,18.3,,3850,female,2008
Chinstrap,Dream,4980,13,52,20.7,210,4800,male,2008
Chinstrap,Dream,3816,7,46.9,16.6,192,2700,female,2008
Chinstrap,Dream,4439,13,53.5,19.9,205,4500,male,2008
Chinstrap,Dream,4579,9,49,19.5,210,3950,male,2008
Chinstrap,Dream,6533,8,46.2,17.5,187,3650,female,2008
Chinstrap,Dream,6385,13,50.9,19.1,196,3550,male,2008
,dream,4669,13,45.5,,196,908,female,2008
Chinstrap,Dream,3574,14,50.9,17.9,196,3675,female,2009
Chinstrap,Dream,7197,14,50.8,18.5,201,4450,male,2009
Chinstrap,Dream,3802,9,83.27,17.9,19,3400,female,2009
Chinstrap,Dream,4261,14,49,19.6,212,4300,male,2009
Chinstrap,Dream,3922,11,51.5,18.7,187,3250,male,2009
Chinstrap,Dream,3690,10,49.8,17.3,198,3675,female,2009
Chinstrap,Dream,5535,13,48.1,16.4,199,3325,female,2009
Chinstrap,Dream,7008,10,51.4,19,201,3950,male,2009
Chinstrap,Dream,5924,12,45.7,17.3,193,3600,female,2009
Chinstrap,Dream,3528,12,50.7,19.7,203,4050,male,2009
Chinstrap,Dream,4284,7,42.5,17.3,187,3350,female,2009
Chinstrap,Dream,6280,12,52.2,18.8,197,3450,male,2009
Chinstrap,Dream,6564,9,45.2,16.6,191,3250,female,2009
Chinstrap,Dream,5405,8,49.3,19.9,203,4050,male,2009
CHINSTRAP,,3893,7,50.2,18.8,202,3800,,2009
chinstrap,DREAM,7195,13,112.75,19.4,194,3525,female,2009
Chinstrap,Dream,6700,7,51.9,19.5,206,3950,male,2009
Chinstrap,Dream,4037,9,46.8,16.5,189,3650,female,2009
chinstrap,,3796,12,,17,195,3650,female,2009
Chinstrap,Dream,4826,11,55.8,19.8,207,4000,male,2009
Chinstrap,Dream,4111,9,43.5,18.1,202,3400,female,2009
Chinstrap,Dream,7049,10,49.6,18.2,193,3775,male,2009
Chinstrap,Dream,4705,7,50.8,19,210,4100,male,2009
Chinstrap,Dream,6098,7,50.2,18.7,198,3775,female,2009
